"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"NIFTY 200","12,430.75","12,452.40","12,359.25","12,418.65","12,370.65","-","-48.00","-0.39","89,71,67,552","36,683.86","14,833.75","11,868.35","-1.87","1.15"
"BHARTIHEXA","1,241.00","1,318.90","1,234.00","1,246.60","1,314.30","-","67.70","5.43","6,60,735","84.55","1,609.30","755.00","-6.58","-"
"AUBANK","535.00","559.25","524.25","524.25","552.50","-","28.25","5.39","61,29,753","338.09","755.40","492.70","-6.96","-11.20"
"SHRIRAMFIN","581.30","605.00","580.30","574.25","603.55","-","29.30","5.10","1,09,12,015","654.00","730.45","438.60","12.23","-75.79"
"BAJAJHLDNG","11,759.00","12,449.00","11,759.00","11,642.05","12,219.15","-","577.10","4.96","1,91,292","233.66","13,238.00","7,659.95","4.01","33.77"
"CHOLAFIN","1,406.15","1,439.95","1,400.50","1,367.80","1,434.05","-","66.25","4.84","38,76,233","553.10","1,652.00","1,011.20","16.37","24.50"
"LTF","136.60","142.18","136.60","133.49","139.88","-","6.39","4.79","1,09,87,896","154.12","194.25","129.20","-5.69","-"
"M&MFIN","274.35","285.70","272.40","271.00","281.20","-","10.20","3.76","27,31,666","76.90","343.00","246.20","4.33","-6.23"
"ABCAPITAL","156.00","160.17","154.18","152.32","157.17","-","4.85","3.18","77,42,350","122.00","246.90","149.01","-7.74","-18.91"
"SRF","2,798.00","2,864.50","2,795.75","2,768.05","2,848.00","-","79.95","2.89","10,67,510","302.82","2,983.90","2,089.10","7.69","15.68"
"BAJFINANCE","8,542.60","8,739.00","8,542.60","8,488.80","8,720.05","-","231.25","2.72","12,91,393","1,120.62","8,739.00","6,187.80","16.36","29.48"
"POONAWALLA","277.30","291.95","277.20","276.20","283.60","-","7.40","2.68","36,01,196","103.35","514.00","270.05","-10.77","-41.64"
"BAJAJFINSV","1,882.15","1,938.80","1,881.00","1,875.10","1,925.00","-","49.90","2.66","22,40,687","429.76","2,029.90","1,419.05","9.55","17.15"
"VOLTAS","1,285.10","1,317.95","1,275.00","1,277.70","1,308.00","-","30.30","2.37","18,97,427","247.48","1,944.90","1,023.95","-9.94","14.36"
"FACT","718.90","735.00","703.95","713.80","730.00","-","16.20","2.27","2,87,759","20.75","1,187.00","572.60","-20.61","-7.57"
"SBICARD","844.90","864.75","844.00","840.70","856.75","-","16.05","1.91","17,63,387","151.06","872.00","647.95","11.54","14.88"
"INDUSINDBK","1,046.90","1,063.30","1,042.70","1,034.25","1,050.80","-","16.55","1.60","34,70,607","364.77","1,576.35","923.70","11.64","-30.73"
"SUNDARMFIN","4,545.00","4,630.30","4,473.55","4,479.60","4,548.20","-","68.60","1.53","69,901","31.83","5,535.85","3,622.25","1.59","6.69"
"BANDHANBNK","140.60","146.38","137.28","135.34","137.30","-","1.96","1.45","3,99,70,968","568.91","222.31","128.16","-9.47","-32.72"
"HINDALCO","625.10","631.70","619.50","619.45","628.30","-","8.85","1.43","46,72,919","291.96","772.65","499.00","5.55","21.54"
"MUTHOOTFIN","2,217.65","2,255.00","2,195.00","2,183.25","2,213.25","-","30.00","1.37","9,38,102","208.44","2,334.80","1,261.90","2.07","68.68"
