SYMBOL,MARKETCAP
AAVAS,13493
ADANIGREEN,133867
AFCONS,16100
ANGELONE,19124
APTUS,15219
ASIANPAINT,217460
DMART,230522
BAJFINANCE,520921
BAJAJHFL,95274
BRITANNIA,113374
CAMPUS,8174
CDSL,24576
CIPLA,118061
CUB,11596
DLINKINDIA,1461
FEDERALBNK,44630
GODREJCP,105411
HATHWAY,2459
HDFCBANK,1292884
HDFCLIFE,133070
HINDUNILVR,521504
IDFCFIRSTB,42289
INDIGOPNTS,4921
JIOFIN,139613
KOTAKBANK,382051
KPITTECH,36362
NESTLEIND,212274
NTPCGREEN,79553
PIIND,49359
SBICARD,79762
SWSOLAR,5900
SUZLON,70574
TARSONS,1683
TATAMOTORS,235504
TTKPRESTIG,8635
VBL,166214
IDEA,55187
ZOMATO,217519
5PAISA,1117
BAJAJ-AUTO,211211
BANKBARODA,106478
CANBK,77119
CELLO,12150
CONCOR,400006
EMBDL,14249
ENTERO,5591
FILATFASH,433
FIVESTAR,20260
FOODSIN,692
FUSION,1633
GAIL,103985
GOYALALUM,131
GPTHEALTH,1111
GTLINFRA,2037
HDFCAMC,81947
HEROMOTOCO,73035
IRFC,161331
IREDA,40236
INDOWIND,226
INTERARCH,2475
IRB,26886
JPPOWER,9705
LEMONTREE,10224
MGL,12674
MANAPPURAM,17631
MSPL,1340
NHPC,77457
NIVABUPA,13206
NSLNISP,10940
NTPC,319360
OLECTRA,9378
ONGC,292869
PARADEEP,7716
PRAKASHSTL,121
PVRINOX,9455
RTNPOWER,5504
RELIANCE,1690328
RPOWER,14473
SAMHI,3301
SHILPAMED,6571
RENUKA,6209
SONATSOFTW,10970
SWANENERGY,13946
SYRMA,7975
TATAELXSI,35016
TATAPOWER,112252
TREL,698
VAIBHAVGBL,3935
MANYAVAR,20230
VIKASECO,451
WAAREEENER,63985
